state_code,city_code,city
USA-MA,USA-BOS-BOT,Boston
USA-IL,USA-CHI-CHH,Chicago
USX-TX,USA-DAL-DLL,Dallas
USA-MI,USA-DET-DET,Detroit
USA-NV,USA-LAS-LAS,Las Vegas
USA-CA,USA-LAX-LSN,Los Angeles
USA-FL,USA-MIA-MIF,Miami
USA-MN,USA-MIN-MIA,Minneapolis
USA-NY,USA-NYM-NEY,New York City-Manhattan
USA-FL,USA-ORL-ORL,Orlando
USA-PA,USA-PHI-PHI,Philadelphia
USA-OR,USA-POR-POR,Portland
USA-NC,USA-RAL-RAL,Raleigh
USA-CA,USA-SAN-SAD,San Diego
USA-WA,USA-SEA-SET,Seattle
USA-CA,USA-SFO-OAA,Oakland
USA-DC,USA-WAS-WSD,Washington
USA-TX,USA-SAT-SAT,San Antonio
USA-GA,USA-ATL-ATA,Atlanta
USA-TX,USA-AUT-AUS,Austin
USA-CA,USA-SAC-SAC,Sacramento
USA-CA,USA-SFO-SNF,San Francisco
USA-AZ,USA-PHX-PHO,Phoenix
USA-TX,USA-HOU-HOU,Houston
USA-CO,USA-DEN-DEN,Denver
